Altitude,Distance,NearPlane,FarPlane,NearFarRatio,DepthPrecisionBits,PatchSize,ScreenError,ShouldSubdivide
1e+07,1.6371e+07,10000,2e+07,2000,10.9658,1.2742e+07,53.4869,0
5e+06,1.1371e+07,5000,1e+07,2000,10.9658,1.2742e+07,76.9642,0
1e+06,7.371e+06,1000,2e+06,2000,10.9658,1.2742e+07,118.56,1
500000,6.871e+06,500,1e+06,2000,10.9658,1.2742e+07,127.14,1
100000,6.471e+06,100,200000,2000,10.9658,1.2742e+07,134.95,1
50000,6.421e+06,50,100000,2000,10.9658,1.2742e+07,135.994,1
10000,6.381e+06,10,20000,2000,10.9658,1.2742e+07,136.841,1
5000,6.376e+06,5,10000,2000,10.9658,1.2742e+07,136.947,1
1000,6.372e+06,1,2000,2000,10.9658,1.2742e+07,137.033,1
100,6.3711e+06,0.1,200,2000,10.9658,1.2742e+07,137.052,1
